"Sample Date","Facility","Salvage","Loss","Acrefeet"
2003-05-06,SWP,0,0.00,1305
2003-08-11,SWP,0,0.00,13884
2009-04-05,CVP,0,0.00,3463
2017-11-07,SWP,0,0.00,2850
2022-04-18,CVP,0,0.00,1801
1994-06-02,SWP,0,0.00,763
2014-06-05,CVP,0,0.00,1659
2020-03-17,SWP,0,0.00,5150
2017-08-31,CVP,0,0.00,8674
2001-11-25,CVP,0,0.00,7902
1998-06-18,SWP,0,0.00,3362
2001-02-26,SWP,132,563.27,14293
2012-08-13,CVP,0,0.00,8699
1997-08-14,SWP,0,0.00,1291
2005-12-12,SWP,0,0.00,13147
2015-07-23,SWP,0,0.00,273
2000-03-16,SWP,6,25.58,6119
2017-09-30,SWP,0,0.00,13049
2005-06-03,SWP,0,0.00,6788
2006-03-11,SWP,12,51.49,4079
2002-08-21,SWP,0,0.00,13878
2015-09-23,CVP,0,0.00,1600
2007-05-07,CVP,0,0.00,1678
1994-09-20,SWP,0,0.00,2720
2001-06-07,CVP,0,0.00,6421
2019-04-14,CVP,0,0.00,3804
2005-03-22,CVP,12,8.65,7254
2002-07-27,CVP,0,0.00,8668
2016-07-05,CVP,0,0.00,1587
2020-01-02,CVP,0,0.00,8143
2021-12-22,CVP,0,0.00,1813
2009-07-06,SWP,0,0.00,13062
1997-07-18,CVP,0,0.00,8854
2013-10-07,SWP,0,0.00,2880
2005-06-26,CVP,0,0.00,8515
2014-08-24,SWP,0,0.00,2079
2006-07-07,CVP,0,0.00,8802
1996-06-07,SWP,0,0.00,12335
2018-05-08,SWP,NS,0.00,0
1998-12-08,SWP,0,0.00,3860
2001-07-27,CVP,0,0.00,8423
2018-09-28,CVP,0,0.00,5239
1994-12-25,CVP,0,0.00,8199
2008-03-01,CVP,20,17.59,3882
2004-06-07,SWP,0,0.00,1886
2003-08-13,CVP,0,0.00,8471
2018-04-29,CVP,0,0.00,1960
2008-06-29,SWP,0,0.00,2652
1995-12-01,CVP,0,0.00,8753
2000-07-03,SWP,0,0.00,11475
2018-10-13,CVP,0,0.00,8446
2013-12-27,CVP,0,0.00,1948
2011-09-17,SWP,0,0.00,13945
2010-12-13,CVP,8,4.65,8199
2020-11-20,CVP,0,0.00,3640
2010-08-12,CVP,0,0.00,8315
2006-01-12,SWP,0,0.00,5225
2004-12-31,SWP,0,0.00,14112
2011-07-06,CVP,0,0.00,8400
2003-10-25,CVP,0,0.00,8625
2020-12-24,CVP,0,0.00,1639
2021-07-30,SWP,0,0.00,411
2013-05-10,CVP,0,0.00,1940
2013-11-14,CVP,0,0.00,4947
1997-11-19,CVP,0,0.00,8332
1999-09-10,CVP,0,0.00,8660
1996-11-01,SWP,0,0.00,11452
2012-10-04,CVP,0,0.00,8463
2002-11-26,CVP,0,0.00,8430
2002-01-12,SWP,0,0.00,14985
2014-08-01,CVP,0,0.00,1262
2003-12-02,CVP,0,0.00,8611
2011-03-17,CVP,12,8.65,6985
1996-01-27,CVP,24,14.78,8572
2006-09-13,SWP,0,0.00,14363
2003-09-01,SWP,0,0.00,13182
2017-11-09,CVP,0,0.00,3665
2021-06-02,SWP,NS,0.00,0
1996-06-02,SWP,0,0.00,11738
2019-01-08,SWP,0,0.00,5786
2009-02-09,SWP,0,0.00,2037
2008-12-21,SWP,0,0.00,2811
2022-06-30,CVP,0,0.00,1807
2010-08-19,CVP,0,0.00,8116
2020-12-05,CVP,0,0.00,1654
2004-10-02,SWP,0,0.00,3867
2002-05-29,SWP,0,0.00,1365
2013-02-09,SWP,0,0.00,2999
2000-01-09,SWP,0,0.00,12181
2014-03-29,SWP,0,0.00,835
1997-02-02,SWP,0,0.00,4416
2002-05-13,SWP,0,0.00,1433
2018-12-07,SWP,0,0.00,8913
2004-05-05,CVP,0,0.00,1135
2006-04-09,SWP,6,27.79,3917
2012-10-08,CVP,0,0.00,8450
2021-07-22,CVP,0,0.00,1599
2009-10-09,CVP,0,0.00,7752
1999-04-03,SWP,20,88.32,9338
2005-04-23,SWP,0,0.00,4182
2014-09-09,CVP,0,0.00,1308
2020-06-21,CVP,0,0.00,6951
1996-12-02,SWP,0,0.00,10320
2019-05-19,CVP,0,0.00,1961
2014-12-20,SWP,0,0.00,4817
2003-05-16,CVP,0,0.00,1703
1999-07-25,SWP,0,0.00,13032
2004-05-10,SWP,0,0.00,2936
2002-01-30,SWP,0,0.00,14097
2012-05-17,SWP,NS,0.00,0
2021-01-03,SWP,0,0.00,2924
2003-03-28,SWP,0,0.00,12841
2019-02-06,SWP,0,0.00,8073
2016-09-25,SWP,0,0.00,10029
2013-02-22,CVP,0,0.00,6079
2004-05-17,CVP,0,0.00,2035
2012-01-22,SWP,0,0.00,9760
2021-03-28,SWP,0,0.00,529
2000-10-24,CVP,0,0.00,8311
1999-12-23,SWP,0,0.00,8128
2020-05-08,CVP,0,0.00,1953
2004-12-30,CVP,0,0.00,7413
2010-04-07,SWP,0,0.00,1339
2010-09-23,CVP,0,0.00,8064
2018-05-03,CVP,0,0.00,1962
2003-06-24,SWP,0,0.00,12512
2007-10-15,SWP,0,0.00,8288
2005-09-02,CVP,0,0.00,8801
2005-11-17,CVP,0,0.00,8463
2013-02-02,CVP,0,0.00,4762
2019-09-01,SWP,0,0.00,10491
2017-01-04,CVP,0,0.00,4984
2015-06-15,CVP,0,0.00,1310
2003-07-17,SWP,0,0.00,12942
2014-08-30,SWP,0,0.00,4812
2015-08-18,CVP,0,0.00,477
1998-07-13,SWP,0,0.00,1095
2017-12-17,CVP,0,0.00,8403
2010-09-03,CVP,0,0.00,8160
2001-01-25,SWP,12,52.76,12153
2011-12-31,SWP,0,0.00,7538
2011-06-11,CVP,0,0.00,5876
2007-01-10,CVP,0,0.00,8613
2006-03-02,SWP,0,0.00,5107
2008-02-06,SWP,4,17.87,6899
1999-11-06,SWP,0,0.00,7457
2014-05-28,CVP,0,0.00,1685
1996-10-23,SWP,0,0.00,7945
2009-06-24,SWP,0,0.00,441
2011-06-19,CVP,0,0.00,5896
2016-06-04,SWP,0,0.00,1446
2008-07-25,SWP,0,0.00,2848
2004-02-27,SWP,132,580.26,14827
2000-01-27,SWP,9,38.03,14389
2004-08-25,CVP,0,0.00,8813
2000-07-06,SWP,0,0.00,12078
2012-12-14,CVP,0,0.00,8769
2017-01-27,CVP,0,0.00,7972
2017-12-23,CVP,0,0.00,8353
2008-09-09,CVP,0,0.00,8673
1997-03-12,CVP,0,0.00,8647
2022-03-02,SWP,0,0.00,596
1996-07-12,CVP,0,0.00,8475
2016-11-29,CVP,0,0.00,7256
2017-02-24,CVP,0,0.00,7131
1999-05-11,SWP,0,0.00,2504
2001-07-11,SWP,0,0.00,8937
2015-04-27,CVP,0,0.00,1590
1998-04-22,CVP,0,0.00,3807
2018-08-06,CVP,0,0.00,8440
2009-09-17,SWP,0,0.00,5347
1999-10-11,CVP,0,0.00,8375
2010-03-22,SWP,6,25.56,6982
2022-02-21,SWP,0,0.00,383
2021-08-12,SWP,0,0.00,455
1997-07-28,CVP,0,0.00,8729
2015-04-15,SWP,0,0.00,1305
2015-10-27,CVP,0,0.00,1895
1997-10-29,SWP,0,0.00,3070
2013-05-14,SWP,0,0.00,2014
2016-07-04,CVP,0,0.00,1593
2018-03-10,CVP,0,0.00,5417
2002-11-10,SWP,0,0.00,3107
2014-03-22,CVP,4,3.88,1985
1997-03-20,CVP,12,7.81,9005
2020-09-23,CVP,0,0.00,8564
2020-10-27,SWP,0,0.00,2230
2014-04-27,SWP,0,0.00,926
1999-11-17,CVP,0,0.00,8262
2010-09-26,SWP,0,0.00,11872
2003-08-20,SWP,0,0.00,13957
1995-03-10,SWP,0,0.00,364
2022-03-19,SWP,0,0.00,821
2001-05-14,SWP,0,0.00,1619
2002-01-25,CVP,12,7.81,8315
2016-12-16,SWP,0,0.00,8757
2000-11-10,CVP,0,0.00,8263
2002-03-24,SWP,0,0.00,3360
2013-12-21,CVP,0,0.00,1951
2015-02-22,SWP,0,0.00,6519
2004-10-31,CVP,0,0.00,8938
2011-07-28,CVP,0,0.00,8331
1999-09-12,CVP,0,0.00,8621
2013-07-15,CVP,0,0.00,7309
2004-08-18,CVP,0,0.00,8827
2009-10-20,SWP,0,0.00,5209
2000-08-11,SWP,0,0.00,11597
2011-11-23,SWP,0,0.00,2705
2002-07-19,SWP,0,0.00,12294
2018-07-14,SWP,0,0.00,4174
2005-03-03,SWP,6,28.04,7885
2014-01-23,CVP,NS,0.00,0
1999-02-13,CVP,12,7.81,8590
2015-11-16,CVP,0,0.00,3784
2008-02-11,CVP,4,2.88,7275
2004-05-21,CVP,0,0.00,2013
2013-11-24,SWP,0,0.00,3368
2018-02-03,CVP,0,0.00,5395
2013-06-26,CVP,0,0.00,1603
2005-05-28,SWP,0,0.00,10397
1994-11-23,SWP,0,0.00,5422
2008-07-07,SWP,0,0.00,6051
2001-01-06,SWP,0,0.00,11022
2013-05-31,CVP,0,0.00,1601
2019-05-14,SWP,NS,0.00,0
2022-04-17,CVP,0,0.00,1782
2003-12-06,SWP,0,0.00,3934
2013-05-04,SWP,0,0.00,3281
1996-03-08,SWP,0,0.00,3100
2010-12-25,SWP,0,0.00,17000
2005-07-29,CVP,0,0.00,8658
2009-08-01,SWP,0,0.00,9854
1993-10-06,CVP,0,0.00,8690
1998-10-19,CVP,0,0.00,8148
2021-01-18,CVP,0,0.00,1645
2005-03-21,SWP,0,0.00,10086
2013-11-06,CVP,0,0.00,3882
2004-05-25,SWP,0,0.00,935
2022-07-24,CVP,0,0.00,5382
2000-11-17,CVP,0,0.00,8149
1995-10-09,CVP,0,0.00,8591
2009-08-10,CVP,0,0.00,7923
2017-07-03,CVP,0,0.00,4383
1999-10-22,SWP,0,0.00,6868
2005-03-21,CVP,0,0.00,7244
2016-09-14,CVP,0,0.00,6552
2017-09-07,CVP,0,0.00,8587
2007-04-18,SWP,4,17.32,4757
2009-10-06,CVP,0,0.00,8087
1997-10-09,SWP,0,0.00,10229
2016-02-27,CVP,0,0.00,6725
2013-11-29,SWP,0,0.00,2839
1994-12-28,SWP,12,52.55,13776
2008-11-10,SWP,0,0.00,4709
2016-03-26,CVP,0,0.00,4890
1997-04-13,CVP,0,0.00,8923
2017-04-13,CVP,0,0.00,7450
1998-11-01,SWP,0,0.00,12468
2004-10-01,CVP,0,0.00,8749
2008-08-12,CVP,0,0.00,5470
2006-03-10,SWP,27,116.35,4079
2003-06-13,CVP,0,0.00,8775
1997-07-29,SWP,0,0.00,12872
2000-10-07,CVP,0,0.00,8340
2015-11-05,CVP,0,0.00,3759
2020-05-20,SWP,NS,0.00,0
2005-02-09,CVP,0,0.00,8675
2016-11-24,CVP,0,0.00,5114
2000-06-18,SWP,0,0.00,5469
2000-06-30,SWP,0,0.00,10919
2018-08-21,CVP,0,0.00,8463
1994-07-04,CVP,0,0.00,3603
2017-08-31,SWP,0,0.00,13649
2003-07-02,SWP,0,0.00,13020
1997-12-13,CVP,0,0.00,8148
1997-06-03,SWP,0,0.00,3382
2011-04-17,CVP,0,0.00,4930
2022-03-09,SWP,0,0.00,821
2018-07-09,CVP,0,0.00,7057
2005-02-02,SWP,0,0.00,4271
2017-10-01,CVP,0,0.00,8665
2019-10-24,SWP,0,0.00,438
1999-02-20,CVP,0,0.00,8534
2018-07-18,CVP,0,0.00,8401
2007-02-18,SWP,0,0.00,4768
1996-09-09,SWP,0,0.00,12962
1998-09-21,SWP,0,0.00,8383
