"Sample Date","Facility","Species","Salvage","Acrefeet"
2015-05-02,CVP,28,0,1606
2018-03-23,SWP,28,0,7523
1998-01-03,SWP,28,0,13920
2005-01-31,CVP,28,0,8645
2000-05-19,SWP,28,0,2906
1995-02-13,CVP,28,0,8181
2015-08-03,CVP,28,0,606
2004-04-23,CVP,28,0,1136
2008-05-06,SWP,28,0,1090
2001-08-31,SWP,28,0,5973
2014-12-11,CVP,28,0,4980
2021-03-26,CVP,28,0,1640
2006-06-14,SWP,28,0,6959
2012-11-27,SWP,28,0,8691
1994-10-28,SWP,28,0,6682
1997-12-08,SWP,28,0,12840
2009-11-06,SWP,28,NS,0
2020-02-12,CVP,28,0,3659
2017-07-16,SWP,28,0,13580
1997-12-30,SWP,28,0,13836
2002-06-14,CVP,28,0,3590
2016-02-15,CVP,28,0,6756
1995-04-07,CVP,28,0,5732
1999-04-23,SWP,28,0,4646
2008-07-05,SWP,28,0,5992
2007-04-24,CVP,28,0,1987
2006-12-18,SWP,28,0,14788
2005-04-01,CVP,28,0,3962
1995-04-27,CVP,28,0,7316
1998-05-20,CVP,28,0,5653
2020-08-24,CVP,28,0,8519
2015-07-27,CVP,28,0,603
2017-04-14,CVP,28,0,7430
2016-10-26,SWP,28,0,5716
1998-12-13,SWP,28,0,3872
2017-06-22,CVP,28,0,8758
2005-05-29,SWP,28,0,10386
2010-10-23,CVP,28,0,8160
2000-12-21,CVP,28,0,8269
2017-07-26,SWP,28,0,13661
2005-12-09,SWP,28,0,13069
1998-07-11,SWP,28,0,8423
2007-12-20,SWP,28,0,6741
2001-06-28,CVP,28,0,6685
2015-02-05,CVP,28,0,1973
2005-03-23,CVP,28,0,6184
2012-05-16,CVP,28,0,8330
2006-10-24,SWP,28,0,10135
2006-09-14,SWP,28,0,14920
2008-05-31,CVP,28,0,2069
1994-10-04,CVP,28,0,7520
1996-06-02,SWP,28,0,11738
2018-02-22,CVP,28,0,1731
2022-04-03,SWP,28,0,821
1997-02-28,CVP,28,0,7379
2004-04-08,SWP,28,0,4030
2020-11-27,CVP,28,0,1958
2018-07-01,SWP,28,0,496
2018-12-14,SWP,28,0,2882
2019-01-25,CVP,28,0,6895
2012-09-23,CVP,28,0,6980
1998-06-07,CVP,28,0,3988
2010-09-30,CVP,28,0,8218
1996-09-10,SWP,28,0,4830
2002-11-14,CVP,28,0,8476
2016-05-29,SWP,28,0,2711
2017-01-05,SWP,28,0,6260
2020-09-26,CVP,28,0,8484
2004-04-18,CVP,28,0,2840
2009-08-03,SWP,28,0,9558
2010-09-12,CVP,28,0,8163
1995-05-06,SWP,28,0,2250
2016-01-25,CVP,28,0,4947
2011-08-05,SWP,28,0,15097
2000-05-04,CVP,28,0,1725
2004-04-16,SWP,28,0,2920
1996-07-12,SWP,28,0,12585
1999-05-24,CVP,28,0,4070
2018-11-14,CVP,28,0,3949
2016-06-02,CVP,28,0,1593
2009-12-27,SWP,28,0,7929
2011-11-16,SWP,28,0,2356
2003-01-28,SWP,28,0,9150
1994-06-30,SWP,28,0,746
1996-02-24,CVP,28,0,3805
1994-12-20,SWP,28,0,4257
2021-12-11,CVP,28,0,1659
2002-12-09,SWP,28,0,3886
2014-02-05,CVP,28,0,499
1997-10-01,CVP,28,0,8535
2001-05-08,SWP,28,0,1643
1994-12-30,SWP,28,0,12586
2004-08-09,CVP,28,0,8735
2013-04-06,CVP,28,NS,0
2017-03-16,SWP,28,NS,0
2003-04-15,SWP,28,0,1144
1995-05-10,SWP,28,0,1913
1998-08-13,CVP,28,0,9015
2007-03-06,CVP,28,0,8695
1998-07-01,SWP,28,0,7724
2006-01-08,CVP,28,0,7688
2003-01-13,SWP,28,0,13890
2010-07-27,SWP,28,0,11920
2015-01-27,CVP,28,0,1738
2015-02-06,CVP,28,0,1979
2001-11-24,SWP,28,0,7937
2014-02-22,CVP,28,0,3402
2019-09-09,SWP,28,0,12139
2004-11-03,SWP,28,0,10000
2017-08-30,SWP,28,0,14780
2000-09-02,CVP,28,0,8567
2010-03-19,SWP,28,0,7335
1993-10-21,SWP,28,0,13063
2008-08-07,CVP,28,0,7304
2012-02-21,SWP,28,0,2184
2018-07-24,CVP,28,0,8505
1999-05-11,CVP,28,0,3090
2010-02-22,CVP,28,0,7553
2001-08-14,SWP,28,0,8666
2006-01-01,SWP,28,0,12048
2014-01-06,SWP,28,0,2259
2009-09-10,CVP,28,0,8205
2001-11-02,SWP,28,0,4606
2022-05-12,CVP,28,0,1799
2004-05-04,CVP,28,0,2823
2019-04-16,CVP,28,0,3465
1994-11-11,SWP,28,0,10267
1996-10-06,SWP,28,0,12879
1994-09-28,SWP,28,0,6879
2021-07-29,CVP,28,0,1657
2005-12-12,SWP,28,0,13147
1997-04-07,SWP,28,0,5988
1997-06-05,CVP,28,0,8979
2012-11-30,SWP,28,0,11007
2004-08-26,SWP,28,0,14006
2003-08-09,SWP,28,0,13907
2005-07-30,CVP,28,0,8681
1999-09-09,CVP,28,0,8612
2011-05-04,SWP,28,NS,0
2014-11-30,SWP,28,0,5651
2014-04-17,CVP,28,0,1958
2006-11-29,CVP,28,0,6810
2011-10-28,CVP,28,0,8160
2001-10-30,SWP,28,0,2011
2012-12-17,CVP,28,0,8642
1995-10-17,CVP,28,0,8610
2010-05-17,CVP,28,0,1638
2016-12-09,CVP,28,0,4868
2013-03-28,SWP,28,0,5591
2005-11-27,CVP,28,0,8392
2002-05-12,SWP,28,0,1119
1999-06-24,CVP,28,0,8513
1997-08-09,CVP,28,0,9021
2022-05-11,CVP,28,0,1816
2013-11-27,SWP,28,0,2689
1995-04-20,SWP,28,0,157
1996-08-06,SWP,28,0,12404
2020-05-01,CVP,28,0,1952
2004-04-24,CVP,28,NS,0
2003-01-11,CVP,28,0,8318
2008-08-15,CVP,28,0,5498
2008-05-19,SWP,28,0,1588
2002-08-23,SWP,28,0,15335
2002-07-06,SWP,28,0,9394
1994-03-31,CVP,28,0,712
2008-09-19,SWP,28,0,1097
2002-06-25,SWP,28,NS,0
2007-01-27,SWP,28,0,4776
2010-07-21,CVP,28,0,8530
1997-03-30,SWP,28,0,11106
1998-06-02,CVP,28,0,3981
1995-06-29,SWP,28,0,8859
2007-01-31,SWP,28,0,5302
2012-11-22,SWP,28,0,9856
2001-10-20,SWP,28,0,217
2014-10-14,SWP,28,0,174
2018-09-20,CVP,28,0,8406
2004-09-26,CVP,28,0,8931
2015-10-18,CVP,28,0,2074
2022-07-29,CVP,28,0,5395
2001-11-20,SWP,28,0,9137
2005-09-21,CVP,28,0,8855
2007-04-17,CVP,28,0,6979
2018-01-25,SWP,28,0,5516
2016-08-09,SWP,28,0,14144
2020-08-31,CVP,28,0,8539
1998-04-23,CVP,28,0,3811
2022-08-11,SWP,28,0,364
1996-11-21,CVP,28,0,8276
2019-06-15,SWP,28,0,13588
2005-09-14,CVP,28,0,8573
2003-06-22,SWP,28,0,13110
1996-06-09,SWP,28,0,12365
2007-12-03,CVP,28,0,7365
2021-04-22,SWP,28,0,809
2016-09-02,CVP,28,0,8353
2006-07-24,CVP,28,0,8630
2007-08-19,SWP,28,0,14112
2012-10-30,CVP,28,0,6952
2016-03-21,SWP,28,0,6551
2006-02-22,CVP,28,0,8632
2018-01-03,CVP,28,0,5399
2007-08-07,SWP,28,0,13815
2001-06-21,CVP,28,0,5322
2008-11-04,CVP,28,0,6943
1995-11-06,SWP,28,8,9751
2010-01-13,SWP,28,0,7917
2000-12-25,SWP,28,0,8266
1994-06-29,CVP,28,0,3367
1996-10-08,SWP,28,0,13058
2011-01-04,SWP,28,0,12520
1995-07-21,CVP,28,0,9017
2016-04-27,CVP,28,0,1936
2014-11-16,CVP,28,0,1587
2017-08-10,SWP,28,0,13893
2016-03-26,SWP,28,0,3276
2003-12-25,CVP,28,0,8395
1997-06-23,CVP,28,0,8735
1999-04-15,CVP,28,0,3889
1999-08-18,SWP,28,0,13657
2008-04-27,SWP,28,0,1336
2007-07-21,CVP,28,0,8710
2003-06-03,SWP,28,0,12853
2013-07-31,SWP,28,0,11541
2011-12-21,SWP,28,0,8161
2006-12-13,SWP,28,0,12325
1997-03-25,SWP,28,0,4431
2013-12-29,CVP,28,0,1954
2019-12-02,SWP,28,0,10832
2006-02-02,CVP,28,0,8602
2005-02-10,SWP,28,0,12154
2022-02-24,CVP,28,0,1579
1999-02-10,CVP,28,0,8487
2011-01-28,SWP,28,0,9688
2021-06-27,SWP,28,NS,0
2018-05-13,SWP,28,0,2464
1998-05-02,SWP,28,0,584
2001-04-09,CVP,28,0,6786
2012-01-30,CVP,28,0,6250
2002-12-19,SWP,28,0,14011
1998-02-14,CVP,28,0,7205
2019-03-21,SWP,28,0,13248
2000-03-06,CVP,28,0,8072
2016-06-01,CVP,28,0,1587
2010-03-22,CVP,28,0,6922
1997-09-14,CVP,28,0,8583
2002-12-29,CVP,28,0,4056
2003-10-13,SWP,28,0,4944
2016-07-01,SWP,28,0,11816
2000-07-22,SWP,28,0,9958
1998-06-10,CVP,28,0,5750
2003-01-28,CVP,28,0,8576
2021-11-15,SWP,28,0,5168
1996-09-25,SWP,28,0,13017
2020-05-11,SWP,28,0,1418
2004-04-01,CVP,28,0,8710
2000-06-09,CVP,28,0,4522
2013-06-10,CVP,28,0,1619
2015-12-08,CVP,28,0,801
2009-09-27,CVP,28,0,8134
2006-04-14,CVP,28,0,493
1997-11-02,CVP,28,0,8516
2007-04-15,CVP,28,0,7063
2003-05-03,CVP,28,0,1700
2011-10-29,SWP,28,0,13327
2012-07-10,SWP,28,0,8848
2019-01-21,CVP,28,0,8006
2018-11-10,CVP,28,0,5143
2018-01-21,SWP,28,0,5830
1997-12-06,CVP,28,0,8125
2013-03-01,SWP,28,0,4783
2004-12-26,CVP,28,0,7377
